TF	TG	cluster	borda_rank	borda_clusterRank	weight
BdiBd21-3.2G0638300	BdiBd21-3.2G0081500	Cluster_0	403	111	0.10760205480458557
BdiBd21-3.2G0638300	BdiBd21-3.3G0285700	Cluster_0	403	111	0.10619235928582642
BdiBd21-3.2G0638300	BdiBd21-3.1G0190500	Cluster_0	403	111	0.10201237440566427
BdiBd21-3.2G0638300	BdiBd21-3.1G0236800	Cluster_0	403	111	0.10169509907718788
BdiBd21-3.2G0638300	BdiBd21-3.3G0229600	Cluster_0	403	111	0.09984912922625017
BdiBd21-3.2G0638300	BdiBd21-3.3G0018900	Cluster_0	403	111	0.09947162945114384
BdiBd21-3.2G0638300	BdiBd21-3.1G0313300	Cluster_0	403	111	0.09912907991886874
BdiBd21-3.2G0638300	BdiBd21-3.1G0265700	Cluster_0	403	111	0.09869014977583801
BdiBd21-3.2G0638300	BdiBd21-3.1G0008500	Cluster_0	403	111	0.09527782123972507
BdiBd21-3.2G0638300	BdiBd21-3.2G0214000	Cluster_0	403	111	0.0950168559848127
BdiBd21-3.2G0638300	BdiBd21-3.3G0190800	Cluster_0	403	111	0.09494701322482496
BdiBd21-3.2G0638300	BdiBd21-3.3G0085800	Cluster_0	403	111	0.09477697947057184
BdiBd21-3.2G0638300	BdiBd21-3.3G0131400	Cluster_0	403	111	0.09319902439131457
BdiBd21-3.2G0638300	BdiBd21-3.1G0112600	Cluster_0	403	111	0.0918396423134056
BdiBd21-3.2G0638300	BdiBd21-3.3G0156600	Cluster_0	403	111	0.09066827592098603
BdiBd21-3.2G0638300	BdiBd21-3.1G0201000	Cluster_0	403	111	0.08973186511192346
BdiBd21-3.2G0638300	BdiBd21-3.1G0064700	Cluster_0	403	111	0.08964117095705347
BdiBd21-3.2G0638300	BdiBd21-3.1G0235100	Cluster_0	403	111	0.08881612224666792
BdiBd21-3.2G0638300	BdiBd21-3.1G0119700	Cluster_0	403	111	0.08865417307092376
BdiBd21-3.2G0638300	BdiBd21-3.1G0073900	Cluster_0	403	111	0.08824087319704851
BdiBd21-3.2G0638300	BdiBd21-3.2G0137000	Cluster_0	403	111	0.08717288861891807
BdiBd21-3.2G0638300	BdiBd21-3.1G0044600	Cluster_0	403	111	0.08658062957517816
BdiBd21-3.2G0638300	BdiBd21-3.2G0222400	Cluster_0	403	111	0.08639732939973828
BdiBd21-3.2G0638300	BdiBd21-3.3G0175300	Cluster_0	403	111	0.08526553325808524
BdiBd21-3.2G0638300	BdiBd21-3.2G0224000	Cluster_0	403	111	0.08367656220257254
BdiBd21-3.2G0638300	BdiBd21-3.3G0217400	Cluster_0	403	111	0.08097150530389133
BdiBd21-3.2G0638300	BdiBd21-3.3G0217700	Cluster_0	403	111	0.07902066834859728
BdiBd21-3.2G0638300	BdiBd21-3.1G0245100	Cluster_0	403	111	0.07640619477291488
BdiBd21-3.2G0638300	BdiBd21-3.1G0196400	Cluster_0	403	111	0.07637653366444162
BdiBd21-3.2G0638300	BdiBd21-3.1G0035220	Cluster_0	403	111	0.07588527678443469
BdiBd21-3.2G0638300	BdiBd21-3.1G0072100	Cluster_0	403	111	0.07574819366626474
BdiBd21-3.2G0638300	BdiBd21-3.1G0083500	Cluster_0	403	111	0.07535799951979623
BdiBd21-3.2G0638300	BdiBd21-3.2G0039800	Cluster_0	403	111	0.07307880609176716
BdiBd21-3.2G0638300	BdiBd21-3.2G0206200	Cluster_0	403	111	0.07192189029371243
BdiBd21-3.2G0638300	BdiBd21-3.1G0116100	Cluster_0	403	111	0.0706054873653639
BdiBd21-3.2G0638300	BdiBd21-3.1G0234600	Cluster_0	403	111	0.07001808377597044
BdiBd21-3.2G0638300	BdiBd21-3.1G0206000	Cluster_0	403	111	0.06959695371759826
BdiBd21-3.2G0638300	BdiBd21-3.3G0204900	Cluster_0	403	111	0.06873339058970722
BdiBd21-3.2G0638300	BdiBd21-3.3G0005100	Cluster_0	403	111	0.06868088299294331
BdiBd21-3.2G0638300	BdiBd21-3.1G0220500	Cluster_0	403	111	0.06743228036518344
