	isTF_expressed	isTF_expressionRegulons	isTF_TFBSRegulons	isTF_finalRegulons	DividingGMCs-2	EarlyGCs-3	EarlyGMCs-1	Intercells-7	LateGCs-4	SCs-6	SMCs-5	Stage0to2-0
BdiBd21-3.1G0166400	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0166800	1	1	1	0	0.4	0.0	0.0	0.0	0.0	0.0	0.1	0.2
BdiBd21-3.1G0166900	1	1	0	0	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0168200	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0168500	1	1	0	0	0.4	0.0	1.1	0.2	0.4	0.0	0.7	2.0
BdiBd21-3.1G0169000	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0169100	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2
BdiBd21-3.1G0170300	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0170500	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0170600	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0172400	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0175300	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0175800	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0177100	1	1	0	0	0.0	0.0	0.8	0.0	0.0	0.2	0.1	1.6
BdiBd21-3.1G0178800	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0181000	1	1	0	0	0.0	0.2	0.0	0.0	0.0	0.6	0.0	0.0
BdiBd21-3.1G0182200	1	1	0	0	0.8	0.0	0.0	0.0	0.0	0.2	0.0	0.2
BdiBd21-3.1G0185200	0	0	0	0								
BdiBd21-3.1G0185500	1	1	0	0	0.8	0.8	0.3	0.7	0.4	0.2	0.1	0.2
BdiBd21-3.1G0186200	0	0	0	0								
BdiBd21-3.1G0186500	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0190600	1	1	1	0	3.5	3.5	5.1	0.4	2.4	2.5	0.2	6.5
BdiBd21-3.1G0192900	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0193000	1	1	0	0	0.0	0.0	0.3	0.0	0.0	0.0	0.2	0.4
BdiBd21-3.1G0193400	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0193600	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0193800	1	1	0	0	0.4	4.5	0.0	0.0	0.0	1.1	0.0	0.2
BdiBd21-3.1G0194000	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0194300	1	1	0	0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0194600	1	1	1	0	0.0	0.2	0.0	0.2	0.0	0.2	0.4	0.8
BdiBd21-3.1G0194900	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2
BdiBd21-3.1G0195500	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0196500	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2
BdiBd21-3.1G0197500	1	1	1	1	1.6	18.7	4.0	0.4	15.4	6.5	0.5	4.2
BdiBd21-3.1G0197800	1	1	0	0	0.0	0.0	0.3	0.2	0.0	0.5	0.2	3.4
BdiBd21-3.1G0200100	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0202900	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0206300	1	1	0	0	0.0	4.9	0.0	0.0	9.3	0.0	0.0	0.0
BdiBd21-3.1G0207000	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0207200	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0208600	1	1	0	0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0
BdiBd21-3.1G0214700	1	1	1	1	2.4	3.9	6.2	2.2	1.6	13.4	4.9	18.8
BdiBd21-3.1G0215900	1	1	0	0	0.8	1.0	0.3	0.1	0.0	0.2	0.0	0.4
BdiBd21-3.1G0216700	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0217800	1	1	1	0	0.0	0.2	0.0	0.0	0.0	0.0	0.1	0.8
BdiBd21-3.1G0224800	1	1	1	0	1.2	3.5	1.4	0.1	0.8	1.4	0.5	5.3
BdiBd21-3.1G0226200	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0227000	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0227100	1	1	1	0	0.4	0.2	0.6	0.1	0.0	0.3	0.1	1.0
BdiBd21-3.1G0227200	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0227400	1	1	0	0	0.0	0.4	0.6	0.2	0.0	3.5	0.2	1.4
BdiBd21-3.1G0227900	1	1	0	0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0
BdiBd21-3.1G0230200	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0230500	1	1	1	0	1.6	0.8	0.3	0.2	0.4	0.8	0.1	1.8
BdiBd21-3.1G0230700	1	1	1	0	2.0	1.0	1.4	0.0	0.4	0.3	0.1	6.9
BdiBd21-3.1G0235000	1	1	1	1	10.6	7.1	5.1	0.3	2.8	3.5	0.4	6.5
BdiBd21-3.1G0240100	1	1	1	0	2.4	0.8	0.8	0.0	0.0	0.5	0.0	1.4
BdiBd21-3.1G0240400	1	1	1	1	61.2	1.2	15.8	0.1	0.0	0.0	0.1	0.8
BdiBd21-3.1G0241600	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0243000	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0246600	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0256900	1	1	1	1	18.8	11.4	8.5	10.5	4.9	8.4	3.3	21.8
BdiBd21-3.1G0257700	1	1	0	0	0.0	0.0	0.0	0.1	0.0	0.2	0.0	0.0
BdiBd21-3.1G0259700	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0262100	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0262500	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0264400	1	1	0	0	1.6	0.8	0.3	0.0	0.4	0.2	0.2	2.8
BdiBd21-3.1G0264800	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0268100	1	1	1	1	7.1	13.2	9.0	3.3	39.7	18.5	4.1	29.9
BdiBd21-3.1G0268700	1	1	1	1	31.0	4.9	6.2	0.1	3.6	0.2	0.3	1.6
BdiBd21-3.1G0271600	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0271700	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0272200	1	1	0	0	0.4	1.0	1.1	0.0	0.4	0.8	0.2	0.4
BdiBd21-3.1G0275800	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0279300	1	1	1	0	5.9	4.5	4.0	0.6	1.2	0.8	1.2	6.1
BdiBd21-3.1G0284000	1	1	0	0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0285700	1	1	0	0	2.0	1.8	2.5	0.1	1.2	0.6	0.2	0.8
BdiBd21-3.1G0287100	1	1	0	0	0.4	0.0	0.3	0.5	0.0	0.0	0.1	0.6
BdiBd21-3.1G0292400	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0294100	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0295600	1	1	0	0	0.0	1.4	0.8	0.5	2.0	1.7	0.4	3.0
BdiBd21-3.1G0298800	1	1	0	0	31.0	4.7	4.2	0.0	0.0	0.0	0.0	1.2
BdiBd21-3.1G0298900	1	1	1	1	4.7	0.8	1.1	1.1	0.0	1.6	1.0	10.7
BdiBd21-3.1G0299100	1	1	1	0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.4
BdiBd21-3.1G0299300	1	1	1	0	0.0	0.0	0.0	0.1	0.0	0.2	0.1	0.0
BdiBd21-3.1G0300400	1	1	0	0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0
BdiBd21-3.1G0300700	1	1	0	0	3.1	0.6	0.3	0.1	0.4	0.3	0.1	4.0
BdiBd21-3.1G0303300	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0304400	1	1	1	1	4.7	2.6	4.2	0.2	0.4	0.8	0.5	12.1
BdiBd21-3.1G0304500	1	1	0	0	73.7	55.6	47.2	18.9	38.1	40.2	34.2	64.0
