label;cluster;TF;alias;celltype;isTF_DE;totRegInCluster;X.TGs;qval_cluster;out.degree;closeness;betweenness;med_coexpr;TF_qval;borda_rank;borda_clusterRank
Early GCs;6_Cluster_6;BdiBd21-3.2G0256300;BdiBd21-3.2G0256300;6;1;112;261;8.79066e-70;0.5986238532110092;0.02671065210026532;9.513814767878067e-5;0.1860892252324602;1.52396189123618e-11;537;40
Early GCs;6_Cluster_6;BdiBd21-3.2G0488600;BdiBd21-3.2G0488600;6;0;112;289;3.97685e-44;0.6628440366972477;0;0;0.2148730082589355;NA;1089;94
Early GCs;6_Cluster_6;BdiBd21-3.1G0973400;BdiBd21-3.1G0973400;6;1;112;305;5.7598799999999994e-39;0.6995412844036697;0;0;0.3123254258824028;0.0450311848434279;742;64
Early GCs;6_Cluster_6;BdiBd21-3.5G0205000;BdiBd21-3.5G0205000;6;0;112;279;3.0027899999999996e-31;0.6399082568807339;0.02794616684499125;3.409546089617709e-4;0.2159236452396804;NA;588;60
Early GCs;6_Cluster_6;BdiBd21-3.1G0039500;BdiBd21-3.1G0039500;6;1;112;316;1.1312999999999992e-83;0.7247706422018348;1.2415314043754409;1.0027861100158832;1.7918574885537253;1.22434270561074e-75;26;1
Early GCs;6_Cluster_6;BdiBd21-3.2G0762000;BdiBd21-3.2G0762000;6;1;112;326;1.1971999999999991e-110;0.7477064220183486;0;0;4.2259449096815445;5.848674370422827e-101;50;7
Early GCs;6_Cluster_6;BdiBd21-3.3G0146400;BdiBd21-3.3G0146400;6;0;112;227;9.111669999999997e-38;0.5206422018348624;0.028225939371804287;1.3935732642370534e-4;0.13587683200030334;NA;995;91
Early GCs;6_Cluster_6;BdiBd21-3.3G0514300;BdiBd21-3.3G0514300;6;1;112;278;6.084919999999998e-59;0.6376146788990825;0;0;0.4024133933531874;9.879258773515319e-18;619;47
Early GCs;6_Cluster_6;BdiBd21-3.2G0083100;BdiBd21-3.2G0083100;6;1;112;293;1.8945799999999997e-52;0.6720183486238532;1.2297493846498098;1.0023349587768384;0.2636078650818558;1.10330455845929e-19;163;22
Early GCs;6_Cluster_6;BdiBd21-3.3G0078900;BdiBd21-3.3G0078900;6;0;112;299;6.17734e-39;0.6857798165137615;0.02819457721694673;2.546518774160201e-4;0.748782867897817;NA;335;31
Early GCs;6_Cluster_6;BdiBd21-3.1G0858600;BdiBd21-3.1G0858600;6;0;112;271;2.9628599999999995e-35;0.6215596330275229;0;0;0.1797701533661396;NA;1268;104
Early GCs;6_Cluster_6;BdiBd21-3.1G0980300;BdiBd21-3.1G0980300;6;1;112;297;8.729599999999995e-130;0.6811926605504587;0;0;2.3100343796150242;2.1550480786808384e-176;49;11
Early GCs;6_Cluster_6;BdiBd21-3.3G0118700;BdiBd21-3.3G0118700;6;0;112;219;1.8608299999999998e-30;0.5022935779816514;0.028737394671859637;1.7514960061577742e-4;0.10362248025689023;NA;951;86
Early GCs;6_Cluster_6;BdiBd21-3.1G0959600;BdiBd21-3.1G0959600;6;0;112;261;4.633720000000001e-41;0.5986238532110092;0;0;0.13872886095066286;NA;1318;108
Early GCs;6_Cluster_6;BdiBd21-3.4G0330400;BdiBd21-3.4G0330400;6;0;112;272;1.26583e-49;0.6238532110091743;0.027110170400910318;1.554023428690377e-4;0.13260994936683435;NA;872;80
Early GCs;6_Cluster_6;BdiBd21-3.4G0253300;BdiBd21-3.4G0253300;6;1;112;222;1.60417e-41;0.5091743119266054;0.028225939371804287;1.2990197366546705e-4;0.14870125289470382;9.867752123963714e-4;806;79
Early GCs;6_Cluster_6;BdiBd21-3.1G0256900;BdiBd21-3.1G0256900;6;0;112;262;1.30704e-42;0.6009174311926605;0.027671886036261785;1.7617497129419424e-4;0.21523233227970964;NA;830;78
Early GCs;6_Cluster_6;BdiBd21-3.3G0767500;BdiBd21-3.3G0767500;6;0;112;291;3.31349e-30;0.6674311926605505;0;0;0.4060495859928;NA;1024;90
Early GCs;6_Cluster_6;BdiBd21-3.5G0223300;BdiBd21-3.5G0223300;6;1;112;292;2.5353699999999996e-63;0.6697247706422018;0.028901047261107125;1.6146474488710992e-4;0.4809688163347786;2.6785150285642e-4;281;27
Early GCs;6_Cluster_6;BdiBd21-3.2G0688100;BdiBd21-3.2G0688100;6;0;112;253;1.6772899999999994e-42;0.5802752293577982;0;0;0.13724393163057372;NA;1334;110
Early GCs;6_Cluster_6;BdiBd21-3.1G0714400;BdiBd21-3.1G0714400;6;1;112;295;1.21922e-33;0.6766055045871561;0;0;0.5061733272770044;3.37526773662608e-15;645;55
Early GCs;6_Cluster_6;BdiBd21-3.1G0137000;BdiBd21-3.1G0137000;6;0;112;244;2.7088e-32;0.5596330275229358;0.02864008972376078;2.3592533204638608e-4;0.16157027681697572;NA;765;76
Early GCs;6_Cluster_6;BdiBd21-3.5G0231400;BdiBd21-3.5G0231400;6;0;112;247;1.61547e-27;0.5665137614678899;0.02832044586523667;3.473105100027377e-4;0.10773936342444752;NA;769;74
Early GCs;6_Cluster_6;BdiBd21-3.5G0229100;BdiBd21-3.5G0229100;6;1;112;310;3.715269999999998e-52;0.7110091743119266;1.2374720530413998;1.00246414123338;1.3597365003450077;1.49657029886988e-38;60;9
Early GCs;6_Cluster_6;BdiBd21-3.4G0498200;BdiBd21-3.4G0498200;6;1;112;310;3.7284199999999994e-64;0.7110091743119266;1.239484528067175;1.002890556016881;1.4043640353337752;1.3175746291469499e-44;48;3
Early GCs;6_Cluster_6;BdiBd21-3.3G0791600;BdiBd21-3.3G0791600;6;1;112;277;1.3993799999999994e-66;0.6353211009174312;0;0;0.2868177626368416;1.31759998724845e-7;700;57
Early GCs;6_Cluster_6;BdiBd21-3.2G0486500;BdiBd21-3.2G0486500;6;0;112;259;1.56351e-45;0.5940366972477065;0;0;0.1880629117884154;NA;1259;102
