"gene";"cluster";"celltype";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"BdiBd21-3.3G0757000";"10";"Unknown 2";9.52671711901823e-13;-0.298458938791295;0.381;0.146;3.72189784405804e-08
"BdiBd21-3.1G0461900";"10";"Unknown 2";9.5947938446858e-13;0.407467553726836;1;0.915;3.74849405924185e-08
"BdiBd21-3.4G0468000";"10";"Unknown 2";9.74067424784593e-13;-0.384490165025767;0.436;0.175;3.80548661514845e-08
"BdiBd21-3.2G0449200";"10";"Unknown 2";9.74354602514367e-13;-0.35087788254023;0.718;0.315;3.80660856110313e-08
"BdiBd21-3.1G0718800";"10";"Unknown 2";9.7780433865201e-13;-0.1724626691644;0.26;0.087;3.82008599024567e-08
"BdiBd21-3.4G0040900";"10";"Unknown 2";9.81899170385419e-13;-0.285804961419204;0.359;0.136;3.83608367886176e-08
"BdiBd21-3.3G0310600";"10";"Unknown 2";9.98449044864979e-13;-0.573148866307781;0.624;0.258;3.9007407284785e-08
"BdiBd21-3.1G0156000";"10";"Unknown 2";9.98990093671566e-13;0.215108921608557;0.906;0.484;3.90285449795607e-08
"BdiBd21-3.2G0128300";"10";"Unknown 2";1.00380086318697e-12;-0.644450646474581;0.359;0.14;3.92164921229885e-08
"BdiBd21-3.4G0601500";"10";"Unknown 2";1.02821004933241e-12;-1.01434685830197;0.32;0.114;4.01701102073184e-08
"BdiBd21-3.4G0116400";"10";"Unknown 2";1.0287420463974e-12;-0.824388036724782;0.619;0.257;4.01908942686537e-08
"BdiBd21-3.2G0522300";"10";"Unknown 2";1.03388225778771e-12;-0.404867273113816;0.58;0.246;4.03917120472504e-08
"BdiBd21-3.1G0175900";"10";"Unknown 2";1.03939362735236e-12;-0.408010422806438;0.475;0.194;4.06070302334021e-08
"BdiBd21-3.1G0367800";"10";"Unknown 2";1.03991445395801e-12;-0.364540206328171;0.624;0.267;4.06273778872317e-08
"BdiBd21-3.1G0409800";"10";"Unknown 2";1.04187203223846e-12;-0.559212685795221;0.32;0.115;4.0703856555492e-08
"BdiBd21-3.3G0088900";"10";"Unknown 2";1.04514104536969e-12;-0.624271208884639;0.74;0.321;4.08315703605029e-08
"BdiBd21-3.5G0331000";"10";"Unknown 2";1.04521593179846e-12;-0.184726442020569;0.343;0.127;4.0834496023502e-08
"BdiBd21-3.3G0714200";"10";"Unknown 2";1.04874139805145e-12;-0.929424828936471;0.298;0.113;4.09722289390741e-08
"BdiBd21-3.1G0892800";"10";"Unknown 2";1.0562428470119e-12;-0.451024924601972;0.464;0.185;4.1265295547061e-08
"BdiBd21-3.1G0256600";"10";"Unknown 2";1.05684960572727e-12;-0.456188438166463;0.387;0.149;4.12890003965531e-08
"BdiBd21-3.1G0115800";"10";"Unknown 2";1.05784961380693e-12;-0.409051779665879;0.591;0.253;4.1328068712209e-08
"BdiBd21-3.3G0782200";"10";"Unknown 2";1.06957587213777e-12;-0.182125833209805;0.337;0.129;4.17861901726784e-08
"BdiBd21-3.2G0128700";"10";"Unknown 2";1.07183202948272e-12;0.208107422151424;0.851;0.45;4.18743337278309e-08
"BdiBd21-3.1G0472800";"10";"Unknown 2";1.09938559810989e-12;-0.585281308670743;0.304;0.107;4.29507965469573e-08
"BdiBd21-3.1G0440200";"10";"Unknown 2";1.1017002717785e-12;-0.418886842530092;0.287;0.1;4.30412262178426e-08
"BdiBd21-3.1G0629800";"10";"Unknown 2";1.1139584096508e-12;-0.373765448115118;0.558;0.24;4.35201271482375e-08
