p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
BdiBd21-3.4G0443700	5.85807691210794e-160	1.95963621532634	0.576	0.097	2.28863348802233e-155	0	BdiBd21-3.4G0443700
BdiBd21-3.2G0696400	8.70863173966573e-160	1.62524870857683	0.994	0.76	3.40228824805261e-155	0	BdiBd21-3.2G0696400
BdiBd21-3.5G0081900	1.35006036793241e-159	2.10969189528838	0.885	0.333	5.27441584543834e-155	0	BdiBd21-3.5G0081900
BdiBd21-3.4G0054500	2.20014983422645e-159	1.56487493218857	0.992	0.711	8.59554537235588e-155	0	BdiBd21-3.4G0054500
BdiBd21-3.1G0713300	9.07357874862751e-159	3.12339652562805	0.325	0.024	3.54486574551379e-154	0	BdiBd21-3.1G0713300
BdiBd21-3.1G0692500	1.11030593033592e-158	1.73165568919955	0.962	0.548	4.33774320863639e-154	0	BdiBd21-3.1G0692500
BdiBd21-3.5G0348600	2.6490628198316e-158	1.78218902499652	0.713	0.157	1.03493586245181e-153	0	BdiBd21-3.5G0348600
BdiBd21-3.4G0017900	3.31744713457516e-158	2.46053150578881	0.372	0.035	1.29606024653582e-153	0	BdiBd21-3.4G0017900
BdiBd21-3.4G0545200	3.89288343595112e-158	2.40305440357152	0.398	0.043	1.52087170075738e-153	0	BdiBd21-3.4G0545200
BdiBd21-3.2G0711200	4.10127145502698e-158	1.79640812653358	0.97	0.603	1.60228473204994e-153	0	BdiBd21-3.2G0711200
BdiBd21-3.4G0090000	1.00268054036583e-157	1.74620756748288	0.984	0.744	3.91727233510123e-153	0	BdiBd21-3.4G0090000
BdiBd21-3.1G0402700	1.4873748274573e-157	1.42358966913839	0.992	0.77	5.8108759759102e-153	0	BdiBd21-3.1G0402700
BdiBd21-3.3G0182500	1.97543354973291e-157	1.74289268772437	0.954	0.495	7.71762379209652e-153	0	BdiBd21-3.3G0182500
BdiBd21-3.1G0396900	1.22525262928223e-156	1.58221920714091	0.996	0.802	4.78681697207982e-152	0	BdiBd21-3.1G0396900
BdiBd21-3.3G0014200	3.91175684971567e-156	1.42720131032121	1	0.856	1.52824516604692e-151	0	BdiBd21-3.3G0014200
BdiBd21-3.1G0085400	6.04241401660323e-156	1.52868704778477	0.996	0.736	2.36065030800655e-151	0	BdiBd21-3.1G0085400
BdiBd21-3.1G0020000	7.45837398249292e-156	1.88808219562952	0.879	0.316	2.91383754748034e-151	0	BdiBd21-3.1G0020000
BdiBd21-3.4G0232000	1.43979295055794e-155	2.21113240584417	0.422	0.05	5.62498309923978e-151	0	BdiBd21-3.4G0232000
BdiBd21-3.1G0398300	2.18221970740038e-155	2.2434123881384	0.436	0.054	8.5254959528718e-151	0	BdiBd21-3.1G0398300
BdiBd21-3.1G0233100	4.59014933844235e-155	2.21231067465467	0.487	0.07	1.79327954354266e-150	0	BdiBd21-3.1G0233100
BdiBd21-3.1G0234600	1.04310772846255e-154	1.44210151640103	0.992	0.77	4.07521327355748e-150	0	BdiBd21-3.1G0234600
BdiBd21-3.3G0004200	2.83441089885118e-154	1.81808605025834	0.853	0.274	1.10734764996318e-149	0	BdiBd21-3.3G0004200
BdiBd21-3.1G0235500	4.13105899284891e-154	1.61609164571779	0.984	0.737	1.61392212732621e-149	0	BdiBd21-3.1G0235500
BdiBd21-3.2G0215200	8.07136037126751e-154	1.74713510097376	0.962	0.584	3.15331906984679e-149	0	BdiBd21-3.2G0215200
BdiBd21-3.4G0488100	1.09132988040443e-153	2.07531945582084	0.887	0.355	4.26360757676401e-149	0	BdiBd21-3.4G0488100
BdiBd21-3.2G0432800	2.37650131374113e-153	1.64321187153082	0.978	0.644	9.28451533252384e-149	0	BdiBd21-3.2G0432800
BdiBd21-3.2G0206200	2.51840346894961e-153	1.59689738126784	0.984	0.618	9.83889867249233e-149	0	BdiBd21-3.2G0206200
BdiBd21-3.3G0540600	2.60011395912258e-153	1.73828646778816	0.982	0.717	1.01581252155001e-148	0	BdiBd21-3.3G0540600
